name,code,description,layer,parent
Ctg. North[Reg](C),Ctg. North[Reg](C),Ctg. North[Reg](C),Region,Chittagong-1[Div](C)
Potiya[Reg](C),Potiya[Reg](C),Potiya[Reg](C),Region,Chittagong-1[Div](C)
Cox's Bazar[Reg](C),Cox's Bazar[Reg](C),Cox's Bazar[Reg](C),Region,Chittagong-1[Div](C)
Ctg. Metro[Reg](C),Ctg. Metro[Reg](C),Ctg. Metro[Reg](C),Region,Chittagong-2[Div](C)
Hathazari[Reg](C),Hathazari[Reg](C),Hathazari[Reg](C),Region,Chittagong-2[Div](C)
Noakhali[Reg](C),Noakhali[Reg](C),Noakhali[Reg](C),Region,Noakhali[Div](C)
Feni[Reg](C),Feni[Reg](C),Feni[Reg](C),Region,Noakhali[Div](C)
Comilla[Reg](C),Comilla[Reg](C),Comilla[Reg](C),Region,Comilla[Div](C)
Chandpur[Reg](C),Chandpur[Reg](C),Chandpur[Reg](C),Region,Comilla[Div](C)
B. Baria[Reg](C),B. Baria[Reg](C),B. Baria[Reg](C),Region,Comilla[Div](C)
Sylhet North[Reg](C),Sylhet North[Reg](C),Sylhet North[Reg](C),Region,Sylhet[Div](C)
Sylhet South[Reg](C),Sylhet South[Reg](C),Sylhet South[Reg](C),Region,Sylhet[Div](C)
Sreemangal[Reg](C),Sreemangal[Reg](C),Sreemangal[Reg](C),Region,Sylhet[Div](C)
Rangpur[Reg](C),Rangpur[Reg](C),Rangpur[Reg](C),Region,Rangpur[Div](C)
Dinajpur[Reg](C),Dinajpur[Reg](C),Dinajpur[Reg](C),Region,Rangpur[Div](C)
Bogra[Reg](C),Bogra[Reg](C),Bogra[Reg](C),Region,Bogra[Div](C)
Rajshahi[Reg](C),Rajshahi[Reg](C),Rajshahi[Reg](C),Region,Bogra[Div](C)
Khulna[Reg](C),Khulna[Reg](C),Khulna[Reg](C),Region,Khulna[Div](C)
Jessore[Reg](C),Jessore[Reg](C),Jessore[Reg](C),Region,Khulna[Div](C)
Barisal[Reg](C),Barisal[Reg](C),Barisal[Reg](C),Region,Barisal[Div](C)
Potuakhali[Reg](C),Potuakhali[Reg](C),Potuakhali[Reg](C),Region,Barisal[Div](C)
Faridpur[Reg](C),Faridpur[Reg](C),Faridpur[Reg](C),Region,Barisal[Div](C)
Kishoreganj[Terr](C),Kishoreganj[Terr](C),Kishoreganj[Terr](C),Territory,Narshingdi[Reg](C)
Direct Party[Terr](C),Direct Party[Terr](C),Direct Party[Terr](C),Territory,Direct Party[Reg](C)
Narayangonj[Terr](C),Narayangonj[Terr](C),Narayangonj[Terr](C),Territory,Narayangonj[Reg](C)
Bondor[Terr](C),Bondor[Terr](C),Bondor[Terr](C),Territory,Narayangonj[Reg](C)
Fatulla[Terr](C),Fatulla[Terr](C),Fatulla[Terr](C),Territory,Narayangonj[Reg](C)
Adamjee[Terr](C),Adamjee[Terr](C),Adamjee[Terr](C),Territory,Narayangonj[Reg](C)
Demra[Terr](C),Demra[Terr](C),Demra[Terr](C),Territory,Narayangonj[Reg](C)
Sonargaon[Terr](C),Sonargaon[Terr](C),Sonargaon[Terr](C),Territory,Narayangonj[Reg](C)
Narshingdi[Terr](C),Narshingdi[Terr](C),Narshingdi[Terr](C),Territory,Narshingdi[Reg](C)
Bhairab[Terr](C),Bhairab[Terr](C),Bhairab[Terr](C),Territory,Narshingdi[Reg](C)
Rupgonj[Terr](C),Rupgonj[Terr](C),Rupgonj[Terr](C),Territory,Narshingdi[Reg](C)
Khilgaon[Terr](C),Khilgaon[Terr](C),Khilgaon[Terr](C),Territory,Khilgaon[Reg](C)
Mowlovi Bazar[Terr](C),Mowlovi Bazar[Terr](C),Mowlovi Bazar[Terr](C),Territory,Khilgaon[Reg](C)
Basabo[Terr](C),Basabo[Terr](C),Basabo[Terr](C),Territory,Khilgaon[Reg](C)
Kaptan Bazar[Terr](C),Kaptan Bazar[Terr](C),Kaptan Bazar[Terr](C),Territory,Khilgaon[Reg](C)
Jatrabari[Terr](C),Jatrabari[Terr](C),Jatrabari[Terr](C),Territory,Jatrabari[Reg](C)
Jurain[Terr](C),Jurain[Terr](C),Jurain[Terr](C),Territory,Jatrabari[Reg](C)
Gendaria[Terr](C),Gendaria[Terr](C),Gendaria[Terr](C),Territory,Jatrabari[Reg](C)
Sreenagar[Terr](C),Sreenagar[Terr](C),Sreenagar[Terr](C),Territory,Jatrabari[Reg](C)
Nababgonj[Terr](C),Nababgonj[Terr](C),Nababgonj[Terr](C),Territory,Jatrabari[Reg](C)
Zinzira[Terr](C),Zinzira[Terr](C),Zinzira[Terr](C),Territory,Jatrabari[Reg](C)
Mohakhali[Terr](C),Mohakhali[Terr](C),Mohakhali[Terr](C),Territory,Gulshan[Reg](C)
Gulshan[Terr](C),Gulshan[Terr](C),Gulshan[Terr](C),Territory,Gulshan[Reg](C)
Badda[Terr](C),Badda[Terr](C),Badda[Terr](C),Territory,Gulshan[Reg](C)
Kawran Bazar[Terr](C),Kawran Bazar[Terr](C),Kawran Bazar[Terr](C),Territory,Gulshan[Reg](C)
